BVGM#,Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
1,VGM #0001,Pokémon Gold / Silver,Title Screen,Junichi Masuda,Game Boy Color,1999,https://www.youtube.com/watch?v=gjcujhd1ujg
2,VGM #0002,Super Mario Galaxy 2,Sky Station Galaxy,"Mahito Yokota, performed by the Mario Galaxy Orchestra",Wii,2010,https://www.youtube.com/watch?v=xD0tEHiDsdY
3,VGM #0003,Cave Story,On to Grasstown,"Daisuke Amaya ""Pixel""",PC,2004,https://www.youtube.com/watch?v=61oWP1A38N0
4,VGM #0004,Super Smash Bros. Melee,Fountain of Dreams,Jun Ishikawa,GameCube,2001,https://www.youtube.com/watch?v=3RhruudG1uA
5,VGM #0005,HearthStone,Better Hand,Peter McConnell,PC,2014,https://www.youtube.com/watch?v=uCDObG02bFA
6,VGM #0006,Minit,Sharp Business,Jukio Kallio,PC,2018,https://www.youtube.com/watch?v=QMxzcfHyaF0
7,VGM #0007,Professor Layton and the Curious Village,Walking in the Village,Tomohito Nishiura,Nintendo DS,2007,https://www.youtube.com/watch?v=rarT6kdwkR8
8,VGM #0008,TrackMania² Stadium,Tachmania,Professor Kliq,PC,2013,https://www.youtube.com/watch?v=34rVZtSPHQE
9,VGM #0009,The Legend of Zelda: Breath of the Wild,Riding (Night),Manaka Kataoka,"Wii U, Switch",2017,https://www.youtube.com/watch?v=5Ub5Ivktbnc
10,VGM #0010,NieR: Automata,A Beautiful Song,Keigo Hoashi,"PC, PS4",2017,https://www.youtube.com/watch?v=zLMJisWB4vE
11,VGM #0011,Hollow Knight,Hornet,Christopher Larkin,PC,2017,https://www.youtube.com/watch?v=dtz56-o1srA
12,VGM #0012,Animal Crossing: Wild World,2:00 AM,Kazumi Totaka,Nintendo DS,2005,https://www.youtube.com/watch?v=SYOGdN_0Fa4
13,VGM #0013,Nuclear Throne,Nuclear Throne,Jukio Kallio,PC,2015,https://www.youtube.com/watch?v=vdrCRcafM-Q
14,VGM #0014,Phoenix Wright: Ace Attorney,Trial,Masakazu Sugimori,GBA,2001,https://www.youtube.com/watch?v=Camk0AygqBE
15,VGM #0015,Super Smash Bros. Ultimate,Halland / Dalarna,"Johan Johnson, and ""Dalarna"", composed by Peter Hont, from Minecraft Dungeons",Switch,2020,https://www.youtube.com/watch?v=6loh4qOiOMk
16,VGM #0016,Yoshi's Woolly World,Spooky Scraps! Don't Get Spooked!,Tomoya Tomita and Misaki Asada,Wii U,2015,https://www.youtube.com/watch?v=RGbCJ8it9sk
17,VGM #0017,Overcooked! 2,The Unbread,Oli Wood,PC,2018,https://www.youtube.com/watch?v=TSGvYYJaukI
18,VGM #0018,Mario Kart: Super Circuit,Boo Lake,Kenichi Nishimaki,GBA,2001,https://www.youtube.com/watch?v=FlppBAJM3-A
19,VGM #0019,League of Legends,"Poppy, Keeper of the Hammer",Riot Games Music Team,PC,2015,https://www.youtube.com/watch?v=bMdFwCZlTtc
20,VGM #0020,Street Fighter II Turbo (SNES),Guile's Theme,Yoko Shimomura,SNES,1993,https://www.youtube.com/watch?v=txF9JNDNJ7Y
21,VGM #0021,Dragon Quest IX,Come To Our Town,Koichi Sugiyama,DS,2009,https://www.youtube.com/watch?v=mU8K5HjsfWo
22,VGM #0022,Human Resource Machine,You Will Be Evaluated,Kyle Gabler,PC,2015,https://www.youtube.com/watch?v=dwPEcUU22Sk
23,VGM #0023,Pokémon X / Y,Lysandre Battle,Minako Adachi,3DS,2013,https://www.youtube.com/watch?v=uwIs6EeCnZ4
24,VGM #0024,Crypt of the NecroDancer,March of the Profane (3-2 Hot),Danny Baranowsky,PC,2015,https://www.youtube.com/watch?v=XcMyTu8t4gI
25,VGM #0025,Sonic Adventure,Dilapidated Way,Jun Senoue,Dreamcast,1998,https://www.youtube.com/watch?v=7hPBKl4vcl0
26,VGM #0026,FTL,Cosmos (Battle),Ben Prunty,PC,2012,https://www.youtube.com/watch?v=3hhFYIpOB_4
27,VGM #0027,Kid Icarus: Uprising,Aurum Island,Yuzo Koshiro,3DS,2012,https://www.youtube.com/watch?v=AliiQjGKtP4
28,VGM #0028,Lovers in a Dangerous Spacetime,Crystal C,Ryan Henwood,PC,2015,https://www.youtube.com/watch?v=1SoHou-x8OY
29,VGM #0029,Super Mario Land 2,The Moon,Kazumi Totaka,Game Boy,1992,https://www.youtube.com/watch?v=oJCoPe1CIxM
30,VGM #0030,Shovel Knight: Specter of Torment,Hidden by Night (Lich Yard),Jake Kaufman,"Switch, PC, 3DS, PS4, Xbox One",2017,https://www.youtube.com/watch?v=rn6e2osp27c
31,VGM #0031,World of Warcraft: Legion,A World Divided,Neal Acree and Sam Cardon,PC,2016,https://www.youtube.com/watch?v=39GLKTA-Ijk
32,VGM #0032,Fire Emblem: Radiant Dawn,Eternal Bond,Yoshito Hirano,Wii,2007,https://www.youtube.com/watch?v=zAf65oOtCjE
33,VGM #0033,CrossCode,Temple of the Valley,Deniz Akbulut,"PC, Switch, PS4, Xbox One",2018,https://www.youtube.com/watch?v=XHtEsBDBcwE
34,VGM #0034,Super Mario Galaxy,Purple Comet,Mahito Yokota,Wii,2007,https://www.youtube.com/watch?v=vd7WlDaR1-8
35,VGM #0035,Dicey Dungeons,Step Right Up,Chipzel,PC,2019,https://www.youtube.com/watch?v=Z2oWGgzgJaE
36,VGM #0036,Pyre,Dirty Deal,Darren Korb,PC,2017,https://www.youtube.com/watch?v=9F8wSU5PvJw
37,VGM #0037,Bayonetta 2,Tomorrow Is Mine,Hiroshi Yamaguchi,Wii U,2014,https://www.youtube.com/watch?v=XIHoqquozzY
38,VGM #0038,Undertale,Heartache,Toby Fox,PC,2015,https://www.youtube.com/watch?v=co9lNrFuEws
39,VGM #0039,Ōkami,Oki's Theme,Hiroshi Yamaguchi,"PS2, Wii",2006,https://www.youtube.com/watch?v=38AbaudAIuc
40,VGM #0040,The Elder Scrolls V: Skyrim,Ancient Stones,Jeremy Soule,"PC, Xbox 360, PS3",2011,https://www.youtube.com/watch?v=s714QBPpJT8
41,VGM #0041,Super Smash Bros. Brawl,Snowman,Keiichi Suzuki and Hirokazu Tanaka,Wii,2008,https://www.youtube.com/watch?v=gXALdfDiJOw
42,VGM #0042,Borderlands 2,Ice,Jesper Kyd,"PC, PS3, Xbox 360",2012,https://www.youtube.com/watch?v=ST2P3YunWd0
43,VGM #0043,"Cook, Serve, Delicious! 2!!",Pocket Full of Spice,Jonathan Geer,PC,2017,https://www.youtube.com/watch?v=e_CL0yuTUWo
44,VGM #0044,Ultimate Chicken Horse,Dance Party,Vibe Avenue,PC,2016,https://www.youtube.com/watch?v=TIQJHeqyKsM
45,VGM #0045,Pokémon HeartGold / SoulSilver,Game Corner,"Go Ichinose, arranged by Shota Kageyama",DS,2009,https://www.youtube.com/watch?v=4GMBxQojIOw
46,VGM #0046,Captain Toad: Treasure Tracker,Razzle-Dazzle Slider,Mahito Yokota,Wii U,2014,https://www.youtube.com/watch?v=jzTcHo_ZHCk
47,VGM #0047,Golden Sun,Forest's Requiem,Motoi Sakuraba,GBA,2001,https://www.youtube.com/watch?v=YK528__p99Q
48,VGM #0048,Beyond Good & Evil,Redemption,Christophe Héral,"PS2, GameCube, Xbox, PC",2003,https://www.youtube.com/watch?v=bKW6b11S3y4
49,VGM #0049,Skies of Arcadia,Credits,Yutaka Minobe,"Dreamcast, GameCube",2000,https://www.youtube.com/watch?v=5kb-Lk7Jkdw
50,VGM #0050,Furi,Make this Right,The Toxic Avenger,"PC, PS4, Xbox One",2016,https://www.youtube.com/watch?v=TJeBOaIuRXM
51,VGM #0051,ARMS,Grand Prix (Ribbon Girl Ver.),Atsuko Asahi and Yasuaki Iwata,Switch,2017,https://www.youtube.com/watch?v=R3U2SyA6PL0
52,VGM #0052,Pocky & Rocky 2,Skills put to the test,"Yasumasa Yamada, Jun Ishikawa and Hirokazu Ando",SNES,1994,https://www.youtube.com/watch?v=I27ZZwNmaZI
53,VGM #0053,Guacamelee! 2,La Tragedia De Salvador,,"PC, PS4, Switch, Xbox One",2018,https://www.youtube.com/watch?v=xt9lx5h87WA
54,VGM #0054,Monster Hunter Tri,Tremble of the Sea and Land ~ Lagiacrus,Yuko Komiyama,Wii,2009,https://www.youtube.com/watch?v=BY1jU51mcm4
55,VGM #0055,Full Metal Furies,Charon,Gordon McGladdery (A Shell in the Pit),"PC, Switch",2018,https://www.youtube.com/watch?v=Tf-5u5ce7_k
56,VGM #0056,Pokémon Mystery Dungeon: Explorers of Sky,Temporal Tower,Arata Iiyoshi,DS,2007,https://www.youtube.com/watch?v=HXedZ-rrLhU
57,VGM #0057,Picross 3D,Challenge,"Yasumasa Yamada, Jun Ishikawa and Hirokazu Ando",DS,2009,https://www.youtube.com/watch?v=yZfzjgJGjIo
58,VGM #0058,Mario Kart 8,Shy Guy Falls,"Shiho Fujii, performed by the Mario Kart Band","Wii U, Switch",2014,https://www.youtube.com/watch?v=TglsZuKO3nU
59,VGM #0059,Chroma Squad,Dance to the Beating,Raphael Müller and Washington Rayk,PC,2015,https://www.youtube.com/watch?v=BYSAz-28M50
60,VGM #0060,Super Smash Bros. for 3DS / Wii U,Final Destination Ver. 2,Junichi Nakatsuru,3DS / Wii U,2014,https://www.youtube.com/watch?v=oSHz2XgzcAA
61,VGM #0061,Heroes of the Storm,The Battle Begins,Glenn Stafford,PC,2015,https://www.youtube.com/watch?v=uXW0Ez2q_O8
62,VGM #0062,Mages of Mystralia,The Rise,Antoine Vachon,"PC, PS4, Xbox One",2017,https://www.youtube.com/watch?v=okLyMe_8C3Q
63,VGM #0063,The Legend of Zelda: The Wind Waker HD,Outset Island,"Kenta Nagata, Hajime Wakai, Toru Minegishi and Koji Kondo. Arranged by Asuka Hayazaki and Atsuko Asahi.",Wii U,2013,https://www.youtube.com/watch?v=y1tndPvhn6w
64,VGM #0064,Starbound,Atlas,Curtis Schweitzer,PC,2016,https://www.youtube.com/watch?v=xq1a0_Cdg0U
65,VGM #0065,Lovers of Aether,The Earthen Division (PC-98 remix),flashygoodness,PC,2019,https://www.youtube.com/watch?v=_vq9OoHSb3k
66,VGM #0066,Professor Layton vs Phoenix Wright,A Pleasant Afternoon,Tomohito Nishiura,3DS,2012,https://www.youtube.com/watch?v=znft89czQ8w
67,VGM #0067,The Messenger,Beneath the Tides (Sunken Shrine),Rainbowdragoneyes,"PC, Switch",2018,https://www.youtube.com/watch?v=GwPGYxDKgow
68,VGM #0068,Pokémon Black / White,Icirrus City,Shota Kageyama,DS,2010,https://www.youtube.com/watch?v=9eE31dGVyb0
69,VGM #0069,The End is Nigh,The End Is Anguish,Ridiculon,"PC, Switch",2017,https://www.youtube.com/watch?v=4HSGgOouwBQ
70,VGM #0070,Fire Emblem: Awakening,Id ~ Purpose,Hiroki Morishita,3DS,2012,https://www.youtube.com/watch?v=4Qah4WCZ9Z4
71,VGM #0071,Super Mario Odyssey,Bowser Castle,Koji Kondo,Switch,2017,https://www.youtube.com/watch?v=SdsRSzTjNL0
72,VGM #0072,Transistor,In Circles,"Darren Korb, vocals by Ashley Barrett","PC, PS4",2014,https://www.youtube.com/watch?v=oTWYfRbYiUs
73,VGM #0073,F-Zero GX,Planet Colors (Green Plant),Hidenori Shoji,GameCube,2003,https://www.youtube.com/watch?v=eZ9IvZGn6W8
74,VGM #0074,Poly Bridge,Fall Into Place,Adrian Talens,PC,2016,https://www.youtube.com/watch?v=vofS85Gi3cY
75,VGM #0075,Street Fighter IV,Theme of Zangief,"Yoko Shimomura, arranged by Hideyuki Fukasawa","Arcade, PS3, Xbox 360, PC",2008,https://www.youtube.com/watch?v=dbuh-tAG5Ag
76,VGM #0076,Kid Icarus: Uprising,Solo Menu,"Motoi Sakuraba, arranged by Motoi Sakuraba and Natsumi Kameoka",3DS,2012,https://www.youtube.com/watch?v=esakRW1TiZU
77,VGM #0077,Darkest Dungeon,The Hamlet,Stuart Chatwood,"PC, PS4, Switch, Xbox One",2016,https://www.youtube.com/watch?v=7AH459S3_6M
78,VGM #0078,Kingdom Hearts: 358/2 Days,Lazy Afternoons,Yoko Shimomura,DS,2009,https://www.youtube.com/watch?v=ntnAqlQn924
79,VGM #0079,Cadence of Hyrule,Temple of Storms (Combat),Danny Baranowsky,Switch,2019,https://www.youtube.com/watch?v=9-b1uzOgkwQ
80,VGM #0080,Super Smash Bros. Ultimate,Out of Time,Yasushi Asada,Switch,2018,https://www.youtube.com/watch?v=HLX7AmxX0p0
81,VGM #0081,Into the Breach,The Blast Garden,Ben Prunty,"PC, Switch",2018,https://www.youtube.com/watch?v=AvTKaoHU5PQ
82,VGM #0082,Tokyo Mirage Sessions ♯FE,Newcomer!,Yoshiaki Fujisawa,"Wii U, Switch",2016,https://www.youtube.com/watch?v=C4nqPxWJIDg
83,VGM #0083,Pokémon Sun / Moon,Battle! (Aether Foundation),Minako Adachi,3DS,2016,https://www.youtube.com/watch?v=gMVe1MkIr6A
84,VGM #0084,World of Goo,Best of Times,Kyle Gabler,"PC, Wii",2008,https://www.youtube.com/watch?v=IOvLLRGvjQE
85,VGM #0085,Trine,Astral Academy,Ari Pulkkinen,"PC, PS3",2009,https://www.youtube.com/watch?v=N1pixY3vF1E
86,VGM #0086,Splatoon,Cephaloparade,Toru Minegishi,Wii U,2015,https://www.youtube.com/watch?v=-VJcIPsQggw
87,VGM #0087,Battleblock Theater,Secret Stage,Will Stamper,PC,2013,https://www.youtube.com/watch?v=_tjwQzt_11w
88,VGM #0088,Tetris,A-Type,Hirokazu Tanaka,Game Boy,1989,https://www.youtube.com/watch?v=YPdOSxuT-Rg
89,VGM #0089,Mario & Luigi: Bowser's Inside Story,Deep Castle,Yoko Shimomura,DS,2009,https://www.youtube.com/watch?v=xjXqf2qUbdI
90,VGM #0090,Trackmania,Paradigm,Ramova,PC,2020,https://www.youtube.com/watch?v=FOOa-c9Rbtc
91,VGM #0091,The Binding of Isaac: Repentance,River of Despair (Downpour),Ridiculon,"PC, Switch, PS5",2021,https://www.youtube.com/watch?v=2SNUVgNpApc
92,VGM #0092,League of Legends,Challengers,Riot Games Music Team,PC,2013,https://www.youtube.com/watch?v=osVGlIUUJ3I
93,VGM #0093,Bayonetta,The Gates of Hell,Hiroshi Yamaguchi,"PS3, Xbox 360, Wii U",2009,https://www.youtube.com/watch?v=Cny-k32W_bw
94,VGM #0094,Hollow Knight,City of Tears,Christopher Larkin,PC,2017,https://www.youtube.com/watch?v=W0ypu6MOIyQ
95,VGM #0095,HearthStone: The Boomsday Project,Boom Boom Boom,Peter McConnell,"PC, Mobile",2018,https://www.youtube.com/watch?v=KllBBBhjhc4
96,VGM #0096,Golden Sun: Dark Dawn,Tonfon,Motoi Sakuraba,DS,2010,https://www.youtube.com/watch?v=fekVuHGilF8
97,VGM #0097,Guilty Gear Xrd Sign,Diva of Despair,"Daisuke Ishiwatari, arranged by Norichika Sato","Arcade, PS3, PS4, PC",2014,https://www.youtube.com/watch?v=GgOGb7TtQQA
98,VGM #0098,Portal 2,Cara Mia Addio,"Mike Morasky, performed by Ellen McLain","PC, Xbox 360, PS3",2011,https://www.youtube.com/watch?v=WJmt51EsiZM
99,VGM #0099,Pokémon Gold / Silver / Crystal,Ending,Go Ichinose,Game Boy Color,1999,https://www.youtube.com/watch?v=s3tVh2gCquc
100,VGM #0100,Professor Layton and the Diabolical Box,Iris ~ Ending,Tomohito Nishiura,DS,2007,https://www.youtube.com/watch?v=-GaEUnXMurk
101,VGM #0101,Fire Emblem: Shadow Dragon,Fire Emblem Theme,"Yuka Tsujiyoko, arranged by Saki Kasuga",DS,2008,https://www.youtube.com/watch?v=CxblZ7gjNqM
102,VGM #0102,Yoshi's Island,Flower Garden,Koji Kondo,SNES,1995,https://www.youtube.com/watch?v=ydTAZ9ZUyd4
103,VGM #0103,The Wolf Among Us,Woodlands,Jared Emerson-Johnson,"PC, PS3, X360, Mobile",2013,https://www.youtube.com/watch?v=5U9waajKHsc
104,VGM #0104,World of Warcraft: Cataclysm,Nightsong,Neal Acree,PC,2010,https://www.youtube.com/watch?v=T96QA5PUhR4
105,VGM #0105,Rocket League,Looking to the Future,Mike Ault,"PC, PS4, Xbox One",2015,https://www.youtube.com/watch?v=mKWEQhU1wf4
106,VGM #0106,The Legend of Zelda: Skyward Sword,The Sky,Hajime Wakai,Wii,2011,https://www.youtube.com/watch?v=YhF9hY23rmw
107,VGM #0107,Ori and the Blind Forest,Riding the Wind,Gareth Coker,"PC, Xbox One",2015,https://www.youtube.com/watch?v=jyoSY4aj7hw
108,VGM #0108,Super Mario Galaxy 2,Cloudy Court Galaxy,Mahito Yokota,Wii,2010,https://www.youtube.com/watch?v=dA-sCQPyxnU
109,VGM #0109,Dead Cells: The Bad Seed,Arboretum,"Yoann ""Valmont"" Laulan","PC, Switch, Xbox One, PS4",2020,https://www.youtube.com/watch?v=9ac4nT5yqWw
110,VGM #0110,Pokémon Ruby / Sapphire / Emerald,Battle! (Brendan/May),Junichi Masuda,GBA,2002,https://www.youtube.com/watch?v=d4meIoVWlcE
111,VGM #0111,Ōkami,The Canine Warriors Theme,Hiroshi Yamaguchi,"PS2, Wii",2006,https://www.youtube.com/watch?v=qFHOVfhXesI
112,VGM #0112,FTL,MilkyWay (Battle),Ben Prunty,PC,2012,https://www.youtube.com/watch?v=VmbWcUp2H9I
113,VGM #0113,Taiko no Tatsujin: Drum 'n' Fun!,Furifuri♪Norinori♪,"Toaki Usami, singed by MANA",Switch,2018,https://www.youtube.com/watch?v=yXIO75GtKuY
114,VGM #0114,Dark Souls,"Gwyn, Lord of Cinder",Motoi Sakuraba,"PS3, Xbox 360, PC",2011,https://www.youtube.com/watch?v=S6N36FPKXJ4
115,VGM #0115,The Talos Principle,Do with It as You Will,Damjan Mravunac,"PC, Mobile, PS4",2014,https://www.youtube.com/watch?v=GTWSBGyUu78
116,VGM #0116,"Cook, Serve, Delicious! 3?!",The Poutine Prince,Jonathan Geer,"PC, Switch, PS4, Xbox One",2020,https://www.youtube.com/watch?v=YB45HA0WZGY
117,VGM #0117,New Super Mario Bros.,Desert Overworld,"Asuka Ōta, Hajime Wakai and Koji Kondo",DS,2006,https://www.youtube.com/watch?v=gOW_Blu5o10
118,VGM #0118,Guacamelee!,Desierto Caliente,Rom di Prisco,"PS3, PSVita, PC",2013,https://www.youtube.com/watch?v=Mf697FReiig
119,VGM #0119,The Legend of Zelda: Ocarina of Time,Gerudo Valley,Koji Kondo,N64,1998,https://www.youtube.com/watch?v=WluViGQPx34
120,VGM #0120,Immortals Fenyx Rising,Dianoia,Gareth Coker,"PC, Switch, PS4, PS5, Xbox One, Xbox X/S",2020,https://www.youtube.com/watch?v=vwaz9epw500
121,VGM #0121,Super Smash Bros. Brawl,Stage Builder,Shogo Sakai,Wii,2008,https://www.youtube.com/watch?v=RZMguU81ARc
122,VGM #0122,Iconoclasts,Moonlight (VS Ivory Beast),Joakim Sandberg,"PC, PS4, PSVita, Switch",2018,https://www.youtube.com/watch?v=B0alPfyjvBQ
123,VGM #0123,Pokémon Sword / Shield,Battle! (Battle Tower),Toby Fox,Switch,2019,https://www.youtube.com/watch?v=Yo13u7QdKho
124,VGM #0124,Assassin's Creed Odyssey,Legend of the Eagle Bearer,The Flight and Mike Georgiades,"PC, PS4, Xbox One, Switch",2018,https://www.youtube.com/watch?v=0E7Ugd3FSak
125,VGM #0125,Shovel Knight,In the Halls of the Usurper (Pridemoor Keep),Jake Kaufman,"3DS, Wii U, PC",2014,https://www.youtube.com/watch?v=T_LE7lvAtF4
126,VGM #0126,Fire Emblem Fates,A Dark Fall,Masato Kouda,3DS,2016,https://www.youtube.com/watch?v=FzLO4gGYeKw
127,VGM #0127,Mario Kart Wii,Toad's Factory,Asuka Ohta and Ryo Nagamatsu,Wii,2008,https://www.youtube.com/watch?v=ZqKWst_hCZA
128,VGM #0128,Lumino City,The Gatehouse,Ed GAPS and Luke Whittaker,"PC, Mobile",2014,https://www.youtube.com/watch?v=F1rR-vfpOlI
129,VGM #0129,Dr. Mario World,World Map,,Mobile,2019,https://www.youtube.com/watch?v=gJrvEV1-s_k
130,VGM #0130,Undertale,Waterfall,Toby Fox,PC,2015,https://www.youtube.com/watch?v=ArKrcKzQ-XA
131,VGM #0131,Xenoblade Chronicles,Mechanical Rythm,"ACE+ for Xenoblade Chronicles, 2010 (Wii)",Switch,2020,https://www.youtube.com/watch?v=ELs5Pk87ZIM
132,VGM #0132,Minecraft,Clark,C418,"PC, Mobile, Xbox 360, Xbox One, PS3, PS4, Wii U, Switch",2011,https://www.youtube.com/watch?v=sgt2hKY11MQ
133,VGM #0133,Crypt of the NecroDancer,Deep Sea Bass (Coral Riff),Danny Baranowsky,"PC, PS4, PS Vita, Mobile, Xbox One, Switch",2015,https://www.youtube.com/watch?v=l0YRarRzZ1o
134,VGM #0134,TrackMania² Lagoon,Thunder,Professor Kliq,PC,2017,https://www.youtube.com/watch?v=OY0ma1MjFP8
135,VGM #0135,A Short Hike,Somewhere In The Woods (Short Hike),Mark Sparling,"PC, Switch",2019,https://www.youtube.com/watch?v=qCbzXpWyy40
136,VGM #0136,Overcooked! 2: Surf'n'Turf,The Resort,Oli Wood and Danny Hey,"PC, Switch, PS4, Xbox One",2018,https://www.youtube.com/watch?v=2MD4DTIWBgY
137,VGM #0137,Super Mario World,Castle Theme,Koji Kondo,SNES,1990,https://www.youtube.com/watch?v=be1uSnRzDn0
138,VGM #0138,Ibb & Obb,Clarity,Kettel,"PS3, PC, Switch",2013,https://www.youtube.com/watch?v=QD-vR1HPqbA
139,VGM #0139,Trine 2,The Giant Dragon,Ari Pulkkinen,"PC, PS3, Xbox 360, Wii U",2011,https://www.youtube.com/watch?v=4d81xzX0FhQ
140,VGM #0140,Pokémon Shuffle,Sweet Strasse (Map 7),Tsukasa Tawada,"3DS, Mobile",2015,https://www.youtube.com/watch?v=7nB2esT9JG0
141,VGM #0141,Yoshi's Woolly World,Fluffin' Puffin Babysitting,Tomoya Tomita and Misaki Asada,"Wii U, 3DS",2015,https://www.youtube.com/watch?v=U2e9E9uOx2E
142,VGM #0142,Super Smash Bros. for 3DS / Wii U,Quick Man Stage,Shota Kageyama,"3DS, Wii U",2014,https://www.youtube.com/watch?v=t04r9dpSY24
143,VGM #0143,Unravel Two,Through Fire For You,Frida Johansson and Henrik Oja,"PC, PS4, Xbox One, Switch",2018,https://www.youtube.com/watch?v=eQibV5GAfLk
144,VGM #0144,Super Meat Boy,C.H.A.D's Lullaby,Danny Baranowsky,"PC, Xbox 360",2010,https://www.youtube.com/watch?v=eX7G_sQTJmw
145,VGM #0145,Mario & Luigi: Partners in Time,Thwomp Volcano,Yoko Shimomura,DS,2005,https://www.youtube.com/watch?v=GrqeO_xItvw
146,VGM #0146,Darksiders II,The Crowfather,Jesper Kyd,"PC, PS3, Xbox 360, Wii U",2012,https://www.youtube.com/watch?v=6gE4Ov4WfBs
147,VGM #0147,The Legend of Zelda: Twilight Princess,Kakariko Village,Toru Minegishi and Koji Kondo,"GameCube, Wii",2006,https://www.youtube.com/watch?v=QhUvZJSqVz0
148,VGM #0148,Borderlands: The Pre-Sequel,Arrival,Jesper Kyd,"PC, PS3, Xbox 360, PS4, Xbox One",2014,https://www.youtube.com/watch?v=D4PhcwCmaA8
149,VGM #0149,Fire Emblem: Three Houses,Chasing Daybreak (Rain),Rei Kondoh,Switch,2019,https://www.youtube.com/watch?v=3Y1tGC5hy-E
150,VGM #0150,A Hat in Time,Rush Hour,Pascal Michael Stiefel,"PC, Switch, Xbox One, PS4",2019,https://www.youtube.com/watch?v=6tglaUmwXdk
151,VGM #0151,Diablo III,Leah,Russell Brower,"PC, PS3, Xbox 360",2012,https://www.youtube.com/watch?v=J0qxq6Q95Ig
152,VGM #0152,SoulCalibur V,Where Springs Not Fail,Hiroki Kikuta,"PS3, Xbox 360",2012,https://www.youtube.com/watch?v=0xCKhVdg-74
153,VGM #0153,Cube World,Explorers,Wolfram von Funck,PC,2019,https://www.youtube.com/watch?v=5ncQjCSOaaI
154,VGM #0154,Nuclear Throne,Groundwork of the Past,Jukio Kallio,"PC, PS4, PS Vita",2015,https://www.youtube.com/watch?v=go1P9Zxyw2g
155,VGM #0155,Pokémon HeartGold / SoulSilver,Lyra,Shota Kageyama,DS,2009,https://www.youtube.com/watch?v=PdzDCs67lGo
156,VGM #0156,Phoenix Wright: Ace Attorney,Turnabout Sisters,Masakazu Sugimori,"GBA, DS",2001,https://www.youtube.com/watch?v=GZ8BP8GYyOs
157,VGM #0157,Kirby's Epic Yarn,Flower Fields,Tomoya Tomita,Wii,2010,https://www.youtube.com/watch?v=LFgHZPVbGpk
158,VGM #0158,Pikuniku,The Forest Town,Calum Bowen,"PC, Switch, Xbox One",2019,https://www.youtube.com/watch?v=W0aLziHNogg
159,VGM #0159,DuckTales,The Amazon,Hiroshige Tonomura,"NES, Game Boy",1989,https://www.youtube.com/watch?v=vY49uE-XpOw
160,VGM #0160,Pikmin,The Forest of Hope,Hajime Wakai,"GameCube, Wii",2001,https://www.youtube.com/watch?v=gFTtBZxVwxQ
161,VGM #0161,Full Metal Furies,Foloi,Gordon McGladdery (A Shell in the Pit),"PC, Xbox One, Switch",2018,https://www.youtube.com/watch?v=UVh4BFDQWXQ
162,VGM #0162,Wargroove,Ancient Blood,Phonetic Hero,"PC, Switch, Xbox One, PS4",2019,https://www.youtube.com/watch?v=BCBrCS2wOag
163,VGM #0163,Monster Hunter Rise - Barbarous Beast,Magnamalo,Satoshi Hori,Switch,2021,https://www.youtube.com/watch?v=MZUxoj48Odw
164,VGM #0164,CrossCode,S-Rank Battle,Deniz Akbulut,"PC, Switch, PS4, Xbox One",2018,https://www.youtube.com/watch?v=DJLGP97VlHY
165,VGM #0165,F-Zero,Big Blue,Yumiko Kanki and Naoto Ishida,SNES,1990,https://www.youtube.com/watch?v=LlmDJgVdUO0
